"DATE,TIME"
"2022-05-13,18:13:15"
"2022-05-14,18:55:00"
"2022-05-15,13:58:00"
"2022-05-16,19:19:00	"
"2022-05-17,17:58:00	"
"2022-05-18	"
"2022-05-19	"
"2022-05-20	"
"2022-05-21	"
"2022-05-22	"
"2022-05-23	"
"2022-05-24	"
"2022-05-25	"
"2022-05-26	"
"2022-05-27	"
"2022-05-28	"
"2022-05-29	"
"2022-05-30	"
"2022-05-31	"
"2022-06-01	"
"2022-06-02	"
"2022-06-03	"
"2022-06-04	"
"2022-06-05	"
"2022-06-06	"
"2022-06-07	"
"2022-06-08	"
"2022-06-09	"
"2022-06-10	"
"2022-06-11	"
"2022-06-12	"
"2022-06-13	"
"2022-06-14	"
"2022-06-15	"
"2022-06-16	"
